"No.","Time","Source","Destination","Protocol","Length","Info"
"83","20.896400","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=6/1536, ttl=56 (request in 82)"
"84","21.407803","10.20.0.21","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"85","21.887484","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=7/1792, ttl=64 (reply in 86)"
"86","21.896227","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=7/1792, ttl=56 (request in 85)"
"87","22.892708","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=8/2048, ttl=64 (reply in 88)"
"88","22.903009","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=8/2048, ttl=56 (request in 87)"
"89","23.897942","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=9/2304, ttl=64 (reply in 90)"
"90","23.907062","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=9/2304, ttl=56 (request in 89)"
"91","24.903161","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=10/2560, ttl=64 (reply in 92)"
"92","24.914014","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=10/2560, ttl=56 (request in 91)"
"93","25.908381","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=11/2816, ttl=64 (reply in 94)"
"94","25.919454","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=11/2816, ttl=56 (request in 93)"
"96","26.913614","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=12/3072, ttl=64 (reply in 97)"
"97","26.923712","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=12/3072, ttl=56 (request in 96)"
"101","27.918828","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=13/3328, ttl=64 (reply in 102)"
"102","27.928578","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=13/3328, ttl=56 (request in 101)"
"104","28.924061","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=14/3584, ttl=64 (reply in 105)"
"105","28.934161","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=14/3584, ttl=56 (request in 104)"
"106","29.929276","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=15/3840, ttl=64 (reply in 107)"
"107","29.938894","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=15/3840, ttl=56 (request in 106)"
"108","30.068727","10.20.0.21","255.255.255.255","DB-LSP-DISC","248","Dropbox LAN sync Discovery Protocol"
"109","30.069052","10.20.0.21","10.20.7.255","DB-LSP-DISC","248","Dropbox LAN sync Discovery Protocol"
"110","30.934496","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=16/4096, ttl=64 (reply in 111)"
"111","30.944603","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=16/4096, ttl=56 (request in 110)"
"112","31.939720","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=17/4352, ttl=64 (reply in 113)"
"113","31.949554","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=17/4352, ttl=56 (request in 112)"
"114","32.940565","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=18/4608, ttl=64 (reply in 115)"
"115","32.951011","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=18/4608, ttl=56 (request in 114)"
"116","33.945522","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=19/4864, ttl=64 (reply in 117)"
"117","33.955689","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=19/4864, ttl=56 (request in 116)"
"118","34.232807","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"119","34.245712","172.217.18.110","10.20.0.21","UDP","68","443  >  50156 Len=26"
"120","34.950746","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=20/5120, ttl=64 (reply in 121)"
"121","34.960796","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=20/5120, ttl=56 (request in 120)"
"124","35.951804","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=21/5376, ttl=64 (reply in 125)"
"125","35.962350","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=21/5376, ttl=56 (request in 124)"
"126","36.062320","162.125.19.131","10.20.0.21","TLSv1.2","299","Application Data"
"127","36.062441","10.20.0.21","162.125.19.131","TCP","66","49590  >  443 [ACK] Seq=1 Ack=234 Win=2044 Len=0 TSval=265490792 TSecr=2376775147"
"128","36.065728","10.20.0.21","162.125.19.131","TLSv1.2","667","Application Data"
"129","36.065778","10.20.0.21","162.125.19.131","TCP","1494","49590  >  443 [ACK] Seq=602 Ack=234 Win=2048 Len=1428 TSval=265490795 TSecr=2376775147 [TCP segment of a reassembled PDU]"
"130","36.065778","10.20.0.21","162.125.19.131","TCP","1494","49590  >  443 [ACK] Seq=2030 Ack=234 Win=2048 Len=1428 TSval=265490795 TSecr=2376775147 [TCP segment of a reassembled PDU]"
"131","36.065779","10.20.0.21","162.125.19.131","TLSv1.2","513","Application Data"
"132","36.163481","162.125.19.131","10.20.0.21","TCP","66","443  >  49590 [ACK] Seq=234 Ack=2030 Win=332 Len=0 TSval=2376775249 TSecr=265490795"
"133","36.163487","162.125.19.131","10.20.0.21","TCP","66","443  >  49590 [ACK] Seq=234 Ack=3905 Win=343 Len=0 TSval=2376775249 TSecr=265490795"
"134","36.954582","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=22/5632, ttl=64 (reply in 135)"
"135","36.965521","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=22/5632, ttl=56 (request in 134)"
"138","37.958818","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=23/5888, ttl=64 (reply in 139)"
"139","37.968255","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=23/5888, ttl=56 (request in 138)"
"140","38.963974","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=24/6144, ttl=64 (reply in 141)"
"141","38.973165","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=24/6144, ttl=56 (request in 140)"
"142","39.968884","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=25/6400, ttl=64 (reply in 143)"
"143","39.979415","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=25/6400, ttl=56 (request in 142)"
"144","40.734306","172.217.18.110","10.20.0.21","UDP","191","443  >  50156 Len=149"
"145","40.734312","172.217.18.110","10.20.0.21","UDP","70","443  >  50156 Len=28"
"146","40.736934","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"147","40.748880","10.20.0.21","172.217.18.110","UDP","524","50156  >  443 Len=482"
"148","40.758811","172.217.18.110","10.20.0.21","UDP","68","443  >  50156 Len=26"
"149","40.927947","172.217.18.110","10.20.0.21","UDP","253","443  >  50156 Len=211"
"150","40.929152","172.217.18.110","10.20.0.21","UDP","85","443  >  50156 Len=43"
"151","40.930325","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"152","40.972722","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=26/6656, ttl=64 (reply in 153)"
"153","40.981352","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=26/6656, ttl=56 (request in 152)"
"154","41.977960","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=27/6912, ttl=64 (reply in 155)"
"155","41.987421","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=27/6912, ttl=56 (request in 154)"
"156","42.334031","10.20.0.21","141.70.82.10","DNS","85","Standard query 0xa7e0 A contacts.fe.apple-dns.net"
"157","42.335137","10.20.0.21","17.248.146.179","TCP","78","49618  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=265497059 TSecr=0 SACK_PERM=1"
"158","42.343974","141.70.82.10","10.20.0.21","DNS","213","Standard query response 0xa7e0 A contacts.fe.apple-dns.net A 17.248.146.115 A 17.248.146.40 A 17.248.146.117 A 17.248.146.136 A 17.248.146.10 A 17.248.146.84 A 17.248.146.8 A 17.248.146.208"
"159","42.343980","17.248.146.179","10.20.0.21","TCP","74","443  >  49618 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1550245938 TSecr=265497059 WS=32"
"160","42.344240","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=265497068 TSecr=1550245938"
"161","42.345325","10.20.0.21","17.248.146.179","TLSv1.2","583","Client Hello"
"162","42.354552","17.248.146.179","10.20.0.21","TCP","66","443  >  49618 [ACK] Seq=1 Ack=518 Win=30048 Len=0 TSval=1550245948 TSecr=265497069"
"163","42.354558","17.248.146.179","10.20.0.21","TLSv1.2","1514","Server Hello"
"164","42.354560","17.248.146.179","10.20.0.21","TCP","1514","443  >  49618 [ACK] Seq=1449 Ack=518 Win=30048 Len=1448 TSval=1550245948 TSecr=265497069 [TCP segment of a reassembled PDU]"
"165","42.354562","17.248.146.179","10.20.0.21","TCP","1266","443  >  49618 [PSH, ACK] Seq=2897 Ack=518 Win=30048 Len=1200 TSval=1550245948 TSecr=265497069 [TCP segment of a reassembled PDU]"
"166","42.354710","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=518 Ack=2897 Win=128832 Len=0 TSval=265497078 TSecr=1550245948"
"167","42.354710","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=518 Ack=4097 Win=127616 Len=0 TSval=265497078 TSecr=1550245948"
"168","42.354801","10.20.0.21","17.248.146.179","TCP","66","[TCP Window Update] 49618  >  443 [ACK] Seq=518 Ack=4097 Win=131072 Len=0 TSval=265497078 TSecr=1550245948"
"169","42.355707","17.248.146.179","10.20.0.21","TLSv1.2","1514","Certificate [TCP segment of a reassembled PDU]"
"170","42.355713","17.248.146.179","10.20.0.21","TLSv1.2","1166","Certificate Status, Server Key Exchange, Server Hello Done"
"171","42.355827","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=518 Ack=6645 Win=128512 Len=0 TSval=265497079 TSecr=1550245949"
"172","42.549484","10.20.0.21","17.248.146.179","TLSv1.2","159","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"173","42.559101","17.248.146.179","10.20.0.21","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"174","42.559226","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=611 Ack=6696 Win=131008 Len=0 TSval=265497279 TSecr=1550246152"
"175","42.560870","10.20.0.21","17.248.146.179","TLSv1.2","1208","Application Data"
"176","42.607544","10.20.0.21","17.248.146.179","TCP","1208","[TCP Retransmission] 49618  >  443 [PSH, ACK] Seq=611 Ack=6696 Win=131072 Len=1142 TSval=265497326 TSecr=1550246152"
"177","42.610781","17.248.146.179","10.20.0.21","TCP","66","443  >  49618 [ACK] Seq=6696 Ack=1753 Win=32320 Len=0 TSval=1550246204 TSecr=265497280"
"178","42.616188","17.248.146.179","10.20.0.21","TCP","78","[TCP Dup ACK 177#1] 443  >  49618 [ACK] Seq=6696 Ack=1753 Win=32320 Len=0 TSval=1550246210 TSecr=265497326 SLE=611 SRE=1753"
"179","42.718336","17.248.146.179","10.20.0.21","TLSv1.2","1037","Application Data"
"180","42.718450","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=1753 Ack=7667 Win=130048 Len=0 TSval=265497436 TSecr=1550246312"
"181","42.724599","10.20.0.21","17.248.146.179","TLSv1.2","1332","Application Data"
"182","42.724677","10.20.0.21","17.248.146.179","TLSv1.2","355","Application Data"
"183","42.734264","17.248.146.179","10.20.0.21","TCP","66","443  >  49618 [ACK] Seq=7667 Ack=3019 Win=35232 Len=0 TSval=1550246327 TSecr=265497442"
"184","42.734268","17.248.146.179","10.20.0.21","TCP","66","443  >  49618 [ACK] Seq=7667 Ack=3308 Win=37760 Len=0 TSval=1550246327 TSecr=265497442"
"185","42.876135","17.248.146.179","10.20.0.21","TLSv1.2","1392","Application Data"
"186","42.876251","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=3308 Ack=8993 Win=129728 Len=0 TSval=265497592 TSecr=1550246469"
"187","42.882985","10.20.0.21","17.248.146.179","TLSv1.2","1334","Application Data"
"188","42.883035","10.20.0.21","17.248.146.179","TLSv1.2","445","Application Data"
"189","42.892967","17.248.146.179","10.20.0.21","TCP","66","443  >  49618 [ACK] Seq=8993 Ack=4576 Win=40640 Len=0 TSval=1550246486 TSecr=265497598"
"190","42.892973","17.248.146.179","10.20.0.21","TCP","66","443  >  49618 [ACK] Seq=8993 Ack=4955 Win=43200 Len=0 TSval=1550246486 TSecr=265497598"
"191","42.983180","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=28/7168, ttl=64 (reply in 192)"
"192","42.992375","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=28/7168, ttl=56 (request in 191)"
"193","43.294276","17.248.146.179","10.20.0.21","TCP","1514","443  >  49618 [ACK] Seq=8993 Ack=4955 Win=43200 Len=1448 TSval=1550246831 TSecr=265497598 [TCP segment of a reassembled PDU]"
"194","43.294280","17.248.146.179","10.20.0.21","TLSv1.2","557","Application Data"
"195","43.294280","17.248.146.179","10.20.0.21","TCP","557","[TCP Retransmission] 443  >  49618 [PSH, ACK] Seq=10441 Ack=4955 Win=43200 Len=491 TSval=1550246853 TSecr=265497598"
"196","43.294355","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=4955 Ack=10932 Win=129088 Len=0 TSval=265498008 TSecr=1550246831"
"197","43.294356","10.20.0.21","17.248.146.179","TCP","78","[TCP Dup ACK 196#1] 49618  >  443 [ACK] Seq=4955 Ack=10932 Win=129088 Len=0 TSval=265498008 TSecr=1550246853 SLE=10441 SRE=10932"
"198","43.308030","10.20.0.21","17.248.146.179","TLSv1.2","1337","Application Data"
"199","43.308084","10.20.0.21","17.248.146.179","TLSv1.2","299","Application Data"
"200","43.317437","17.248.146.179","10.20.0.21","TCP","66","443  >  49618 [ACK] Seq=10932 Ack=6226 Win=46080 Len=0 TSval=1550246911 TSecr=265498021"
"201","43.317441","17.248.146.179","10.20.0.21","TCP","66","443  >  49618 [ACK] Seq=10932 Ack=6459 Win=48640 Len=0 TSval=1550246911 TSecr=265498021"
"204","43.522227","17.248.146.179","10.20.0.21","TLSv1.2","1036","Application Data"
"205","43.522346","10.20.0.21","17.248.146.179","TCP","66","49618  >  443 [ACK] Seq=6459 Ack=11902 Win=130048 Len=0 TSval=265498233 TSecr=1550247115"
"206","43.988439","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=29/7424, ttl=64 (reply in 207)"
"207","43.997794","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=29/7424, ttl=56 (request in 206)"
